px_no,identifier,group,direction,valence,event,code,internal,external,proportion
4004,Good,CON,past,pos,e2,3,15,0,1
4005,Good,ANX,future,neg,e1,2,NA,NA,NA
4005,Good,ANX,future,neg,e2,2,NA,NA,NA
4005,Good,ANX,future,neutral,e1,1,NA,NA,NA
4005,Good,ANX,future,neutral,e2,3,16,2,0.8888888888888888
4005,Good,ANX,future,pos,e1,2,NA,NA,NA
4005,Good,ANX,future,pos,e2,3,13,1,0.9285714285714286
4005,Good,ANX,past,neg,e1,3,12,10,0.5454545454545454
4005,Good,ANX,past,neg,e2,3,10,5,0.6666666666666666
4005,Good,ANX,past,neutral,e1,3,15,7,0.6818181818181818
4005,Good,ANX,past,neutral,e2,1,NA,NA,NA
4005,Good,ANX,past,pos,e1,1,NA,NA,NA
4005,Good,ANX,past,pos,e2,3,15,17,0.46875
4006,Good,CON,future,neg,e1,3,21,3,0.875
4006,Good,CON,future,neg,e2,3,15,3,0.8333333333333334
4006,Good,CON,future,neutral,e1,3,19,7,0.7307692307692307
4006,Good,CON,future,neutral,e2,3,33,6,0.8461538461538461
4006,Good,CON,future,pos,e1,1,NA,NA,NA
4006,Good,CON,future,pos,e2,3,21,5,0.8076923076923077
4006,Good,CON,past,neg,e1,3,37,1,0.9736842105263158
4006,Good,CON,past,neg,e2,3,32,2,0.9411764705882353
4006,Good,CON,past,neutral,e1,3,29,14,0.6744186046511628
4006,Good,CON,past,neutral,e2,3,26,14,0.65
4006,Good,CON,past,pos,e1,3,23,11,0.6764705882352942
4006,Good,CON,past,pos,e2,3,41,3,0.9318181818181818
4007,Good,CON,future,neg,e1,3,12,4,0.75
4007,Good,CON,future,neg,e2,2,NA,NA,NA
4007,Good,CON,future,neutral,e1,3,16,0,1
4007,Good,CON,future,neutral,e2,3,7,14,0.3333333333333333
4007,Good,CON,future,pos,e1,3,18,1,0.9473684210526315
4007,Good,CON,future,pos,e2,2,NA,NA,NA
4007,Good,CON,past,neg,e1,3,32,0,1
4007,Good,CON,past,neg,e2,1,NA,NA,NA
4007,Good,CON,past,neutral,e1,3,16,0,1
4007,Good,CON,past,neutral,e2,3,21,0,1
4007,Good,CON,past,pos,e1,3,17,0,1
4007,Good,CON,past,pos,e2,3,30,0,1
4008,Good,ANX,future,neg,e1,3,12,2,0.8571428571428571
4008,Good,ANX,future,neg,e2,3,20,0,1
4008,Good,ANX,future,neutral,e1,2,NA,NA,NA
4008,Good,ANX,future,neutral,e2,3,32,2,0.9411764705882353
4008,Good,ANX,future,pos,e1,3,31,0,1
4008,Good,ANX,future,pos,e2,3,26,6,0.8125
4008,Good,ANX,past,neg,e1,3,16,0,1
4008,Good,ANX,past,neg,e2,3,31,0,1
4008,Good,ANX,past,neutral,e1,3,14,10,0.5833333333333334
4008,Good,ANX,past,neutral,e2,3,19,4,0.8260869565217391
4008,Good,ANX,past,pos,e1,3,27,5,0.84375
4008,Good,ANX,past,pos,e2,3,32,0,1
4009,Good,CON,future,neg,e1,1,NA,NA,NA
4009,Good,CON,future,neg,e2,3,10,5,0.6666666666666666
4009,Good,CON,future,neutral,e1,3,10,8,0.5555555555555556
4009,Good,CON,future,neutral,e2,1,NA,NA,NA
4009,Good,CON,future,pos,e1,2,NA,NA,NA
4009,Good,CON,future,pos,e2,2,NA,NA,NA
4009,Good,CON,past,neg,e1,3,14,9,0.6086956521739131
4009,Good,CON,past,neg,e2,3,43,6,0.8775510204081632
4009,Good,CON,past,neutral,e1,2,NA,NA,NA
4009,Good,CON,past,neutral,e2,3,17,4,0.8095238095238095
4009,Good,CON,past,pos,e1,1,NA,NA,NA
4009,Good,CON,past,pos,e2,1,NA,NA,NA
4010,Good,ANX,future,neg,e1,3,3,4,0.42857142857142855
4010,Good,ANX,future,neg,e2,3,7,4,0.6363636363636364
4010,Good,ANX,future,neutral,e1,3,9,1,0.9
4010,Good,ANX,future,neutral,e2,3,14,0,1
4010,Good,ANX,future,pos,e1,3,17,2,0.8947368421052632
4010,Good,ANX,future,pos,e2,1,NA,NA,NA
4010,Good,ANX,past,neg,e1,3,26,0,1
4010,Good,ANX,past,neg,e2,3,19,2,0.9047619047619048
4010,Good,ANX,past,neutral,e1,3,10,7,0.5882352941176471
4010,Good,ANX,past,neutral,e2,3,13,10,0.5652173913043478
4010,Good,ANX,past,pos,e1,3,14,5,0.7368421052631579
4010,Good,ANX,past,pos,e2,3,26,2,0.9285714285714286
4011,Good,CON,future,neg,e1,2,NA,NA,NA
4011,Good,CON,future,neg,e2,1,NA,NA,NA
4011,Good,CON,future,neutral,e1,3,7,1,0.875
4011,Good,CON,future,neutral,e2,3,10,2,0.8333333333333334
4011,Good,CON,future,pos,e1,1,NA,NA,NA
4011,Good,CON,future,pos,e2,3,12,1,0.9230769230769231
4011,Good,CON,past,neg,e1,2,NA,NA,NA
4011,Good,CON,past,neg,e2,3,10,0,1
4011,Good,CON,past,neutral,e1,1,NA,NA,NA
4011,Good,CON,past,neutral,e2,1,NA,NA,NA
4011,Good,CON,past,pos,e1,3,7,6,0.5384615384615384
4011,Good,CON,past,pos,e2,3,15,0,1
